"treatment","feel1","feel2","feel3","feel4"
"Same-Sex Marriage Script by Straight Canvasser",57,67,59,52
"Same-Sex Marriage Script by Straight Canvasser",1,1,0,2
"Same-Sex Marriage Script by Straight Canvasser",77,75,63,80
"No Contact",88,86,88,82
"Recycling Script by Straight Canvasser",63,65,70,48
"Recycling Script by Straight Canvasser",33,40,34,47
"No Contact",88,82,86,85
"Recycling Script by Straight Canvasser",35,42,26,30
"Same-Sex Marriage Script by Gay Canvasser",89,80,90,84
"No Contact",75,69,77,75
"Same-Sex Marriage Script by Gay Canvasser",49,50,44,49
"Recycling Script by Gay Canvasser",75,80,76,77
"No Contact",61,60,49,NA
"Recycling Script by Gay Canvasser",41,43,44,40
"Recycling Script by Straight Canvasser",5,1,2,5
"Recycling Script by Straight Canvasser",60,54,58,59
"Recycling Script by Gay Canvasser",50,52,55,52
"Same-Sex Marriage Script by Gay Canvasser",77,75,NA,62
"No Contact",46,46,39,53
"Same-Sex Marriage Script by Gay Canvasser",82,85,80,80
"Recycling Script by Straight Canvasser",83,85,88,78
"No Contact",50,43,42,48
"Recycling Script by Straight Canvasser",28,24,36,28
"Same-Sex Marriage Script by Straight Canvasser",63,56,60,71
"No Contact",67,63,67,65
"Same-Sex Marriage Script by Straight Canvasser",87,95,86,87
"Same-Sex Marriage Script by Gay Canvasser",48,48,49,36
"No Contact",57,61,60,55
"Same-Sex Marriage Script by Gay Canvasser",67,68,61,77
"Recycling Script by Gay Canvasser",80,82,70,85
"Same-Sex Marriage Script by Straight Canvasser",56,58,61,49
"Recycling Script by Straight Canvasser",56,52,59,59
"Same-Sex Marriage Script by Gay Canvasser",99,100,87,100
"Recycling Script by Gay Canvasser",71,83,73,67
"Same-Sex Marriage Script by Gay Canvasser",81,80,73,84
"Same-Sex Marriage Script by Straight Canvasser",33,31,29,31
"No Contact",63,59,59,67
"No Contact",47,44,55,59
"Recycling Script by Straight Canvasser",78,74,80,82
"No Contact",75,67,NA,73
"Same-Sex Marriage Script by Gay Canvasser",83,79,72,90
"Same-Sex Marriage Script by Straight Canvasser",100,100,98,100
"Recycling Script by Straight Canvasser",23,15,14,22
"No Contact",37,29,45,44
"No Contact",64,65,74,70
"Recycling Script by Gay Canvasser",50,47,56,52
"Same-Sex Marriage Script by Straight Canvasser",87,78,93,79
"Recycling Script by Straight Canvasser",47,45,48,38
"Recycling Script by Straight Canvasser",70,75,61,65
"No Contact",100,100,100,100
"Recycling Script by Straight Canvasser",76,86,76,81
"Same-Sex Marriage Script by Straight Canvasser",82,88,77,87
"Same-Sex Marriage Script by Gay Canvasser",41,44,49,55
"Recycling Script by Straight Canvasser",100,100,100,94
"Same-Sex Marriage Script by Straight Canvasser",16,16,25,0
"Same-Sex Marriage Script by Gay Canvasser",82,84,86,84
"Same-Sex Marriage Script by Gay Canvasser",37,37,37,32
"No Contact",38,38,37,29
"Same-Sex Marriage Script by Gay Canvasser",87,83,82,90
"Recycling Script by Gay Canvasser",24,28,25,24
"No Contact",35,30,NA,38
"Recycling Script by Straight Canvasser",62,65,54,64
"No Contact",25,17,29,22
"Same-Sex Marriage Script by Straight Canvasser",54,63,52,59
"Recycling Script by Straight Canvasser",60,62,53,65
"Same-Sex Marriage Script by Straight Canvasser",40,38,50,44
"Same-Sex Marriage Script by Straight Canvasser",85,86,84,80
"Same-Sex Marriage Script by Straight Canvasser",44,44,38,NA
"Same-Sex Marriage Script by Gay Canvasser",4,5,6,3
"No Contact",75,72,NA,84
"No Contact",63,67,66,60
"Recycling Script by Gay Canvasser",76,77,69,75
"Same-Sex Marriage Script by Gay Canvasser",99,92,100,94
"Same-Sex Marriage Script by Straight Canvasser",84,92,81,78
"Same-Sex Marriage Script by Gay Canvasser",68,64,72,73
"Same-Sex Marriage Script by Gay Canvasser",67,74,NA,65
"No Contact",45,49,39,42
"Same-Sex Marriage Script by Gay Canvasser",75,76,73,66
"Same-Sex Marriage Script by Straight Canvasser",71,66,74,62
"Same-Sex Marriage Script by Gay Canvasser",53,55,62,NA
"No Contact",34,38,30,32
"Recycling Script by Straight Canvasser",64,65,71,60
"No Contact",100,100,100,100
"No Contact",82,89,85,84
"Same-Sex Marriage Script by Gay Canvasser",57,65,53,51
"Recycling Script by Straight Canvasser",27,31,19,30
"Same-Sex Marriage Script by Gay Canvasser",74,71,66,77
"Recycling Script by Straight Canvasser",20,20,19,21
"Recycling Script by Straight Canvasser",66,70,63,72
"No Contact",54,61,53,55
"Same-Sex Marriage Script by Gay Canvasser",9,16,20,0
"Same-Sex Marriage Script by Gay Canvasser",57,58,59,53
"Same-Sex Marriage Script by Straight Canvasser",67,66,57,66
"Recycling Script by Gay Canvasser",79,80,73,80
"No Contact",32,28,45,36
"Recycling Script by Straight Canvasser",46,47,43,38
"Same-Sex Marriage Script by Straight Canvasser",50,45,NA,41
"No Contact",100,93,NA,88
"Same-Sex Marriage Script by Gay Canvasser",16,9,12,13
"Same-Sex Marriage Script by Gay Canvasser",100,100,100,100
"Recycling Script by Straight Canvasser",43,52,44,NA
"Recycling Script by Gay Canvasser",96,100,92,95
"Recycling Script by Gay Canvasser",10,14,9,4
"Recycling Script by Gay Canvasser",67,66,66,55
"Same-Sex Marriage Script by Gay Canvasser",32,42,25,42
"No Contact",4,0,8,6
"Recycling Script by Straight Canvasser",0,7,2,0
"Same-Sex Marriage Script by Straight Canvasser",77,81,70,78
"No Contact",39,33,48,48
"Recycling Script by Gay Canvasser",57,57,52,75
"Recycling Script by Straight Canvasser",50,50,45,52
"Recycling Script by Gay Canvasser",76,75,78,79
"No Contact",47,48,47,53
"Recycling Script by Gay Canvasser",100,99,NA,NA
"Same-Sex Marriage Script by Straight Canvasser",61,58,53,70
"Recycling Script by Straight Canvasser",47,40,44,43
"Same-Sex Marriage Script by Gay Canvasser",83,81,85,69
"No Contact",24,15,20,17
"Same-Sex Marriage Script by Gay Canvasser",59,61,NA,58
"Recycling Script by Gay Canvasser",21,17,26,19
"Same-Sex Marriage Script by Gay Canvasser",60,63,55,62
"No Contact",51,54,52,47
"No Contact",100,100,91,100
"Recycling Script by Straight Canvasser",79,85,NA,85
"Same-Sex Marriage Script by Straight Canvasser",69,73,65,78
"Recycling Script by Gay Canvasser",42,35,41,44
"Same-Sex Marriage Script by Gay Canvasser",100,100,97,83
"No Contact",45,42,NA,56
"Same-Sex Marriage Script by Straight Canvasser",45,40,56,37
"Same-Sex Marriage Script by Straight Canvasser",53,56,40,56
"Same-Sex Marriage Script by Gay Canvasser",0,0,0,0
"Same-Sex Marriage Script by Gay Canvasser",42,36,33,41
"No Contact",63,65,68,52
"No Contact",52,53,43,58
"Same-Sex Marriage Script by Straight Canvasser",57,54,48,66
"Same-Sex Marriage Script by Gay Canvasser",100,100,91,100
"No Contact",100,100,100,100
"Recycling Script by Gay Canvasser",41,39,47,48
"Same-Sex Marriage Script by Straight Canvasser",100,97,100,100
"Recycling Script by Gay Canvasser",71,67,81,65
"No Contact",53,56,NA,49
"Recycling Script by Straight Canvasser",53,50,47,58
"Same-Sex Marriage Script by Gay Canvasser",0,1,0,2
"Recycling Script by Straight Canvasser",44,49,44,38
"No Contact",90,88,82,99
"Same-Sex Marriage Script by Gay Canvasser",37,36,32,37
"No Contact",39,40,34,38
"Same-Sex Marriage Script by Gay Canvasser",73,79,73,74
"Recycling Script by Gay Canvasser",51,54,52,44
"No Contact",94,94,89,79
"Recycling Script by Gay Canvasser",57,54,68,68
"Recycling Script by Gay Canvasser",75,80,79,77
"No Contact",57,61,49,63
"Same-Sex Marriage Script by Straight Canvasser",60,70,57,52
"Recycling Script by Straight Canvasser",93,92,99,100
"Same-Sex Marriage Script by Straight Canvasser",100,100,86,100
"No Contact",49,48,NA,49
"Same-Sex Marriage Script by Straight Canvasser",11,10,20,9
"Recycling Script by Straight Canvasser",50,55,NA,55
"Recycling Script by Gay Canvasser",66,63,74,69
"Recycling Script by Straight Canvasser",78,81,79,81
"Recycling Script by Straight Canvasser",36,33,41,29
"Same-Sex Marriage Script by Gay Canvasser",88,88,97,NA
"Same-Sex Marriage Script by Straight Canvasser",75,78,75,71
"Recycling Script by Gay Canvasser",39,28,NA,42
"Same-Sex Marriage Script by Gay Canvasser",54,52,61,49
"Recycling Script by Gay Canvasser",60,47,58,65
"Same-Sex Marriage Script by Straight Canvasser",6,0,0,18
"Recycling Script by Straight Canvasser",92,88,84,100
"Recycling Script by Straight Canvasser",59,64,61,53
"Recycling Script by Gay Canvasser",38,42,34,38
"Same-Sex Marriage Script by Straight Canvasser",90,88,93,92
"No Contact",69,71,78,63
"Recycling Script by Straight Canvasser",49,43,37,50
"Same-Sex Marriage Script by Gay Canvasser",47,49,57,56
"Same-Sex Marriage Script by Straight Canvasser",24,32,34,22
"No Contact",75,83,75,88
"Same-Sex Marriage Script by Gay Canvasser",82,85,80,78
"No Contact",68,66,67,66
"Same-Sex Marriage Script by Straight Canvasser",66,67,NA,72
"Same-Sex Marriage Script by Straight Canvasser",100,93,100,100
"Same-Sex Marriage Script by Straight Canvasser",52,51,58,42
"No Contact",57,60,51,61
"Recycling Script by Straight Canvasser",46,44,40,37
"No Contact",24,23,28,13
"Recycling Script by Gay Canvasser",73,78,62,76
"Same-Sex Marriage Script by Straight Canvasser",23,27,22,27
"Recycling Script by Straight Canvasser",38,43,34,46
"Same-Sex Marriage Script by Straight Canvasser",71,73,73,75
"No Contact",51,56,55,55
"Recycling Script by Gay Canvasser",72,70,65,73
"Same-Sex Marriage Script by Gay Canvasser",74,75,75,84
"Same-Sex Marriage Script by Straight Canvasser",26,41,25,27
"Same-Sex Marriage Script by Straight Canvasser",78,79,77,84
"Recycling Script by Gay Canvasser",82,80,73,72
"Recycling Script by Gay Canvasser",56,56,58,48
"Same-Sex Marriage Script by Gay Canvasser",12,19,15,19
"Same-Sex Marriage Script by Gay Canvasser",17,20,NA,7
"Recycling Script by Gay Canvasser",94,99,99,98
"Recycling Script by Straight Canvasser",68,75,67,NA
"Same-Sex Marriage Script by Straight Canvasser",31,26,35,41
"Same-Sex Marriage Script by Gay Canvasser",57,58,57,67
"Same-Sex Marriage Script by Gay Canvasser",18,25,20,21
"Same-Sex Marriage Script by Gay Canvasser",28,23,24,26
"Recycling Script by Gay Canvasser",79,78,72,93
"Same-Sex Marriage Script by Straight Canvasser",74,73,79,79
"Same-Sex Marriage Script by Straight Canvasser",81,86,75,78
"Same-Sex Marriage Script by Gay Canvasser",70,72,75,76
"No Contact",79,76,85,63
"Same-Sex Marriage Script by Straight Canvasser",26,5,18,29
"No Contact",51,50,57,58
"No Contact",0,3,0,12
"Recycling Script by Gay Canvasser",36,31,44,26
"Same-Sex Marriage Script by Straight Canvasser",17,23,17,14
"Recycling Script by Gay Canvasser",51,51,57,38
"Same-Sex Marriage Script by Gay Canvasser",50,51,39,NA
"Same-Sex Marriage Script by Gay Canvasser",33,27,26,NA
"Recycling Script by Straight Canvasser",18,16,NA,9
"Recycling Script by Straight Canvasser",42,48,34,50
"Recycling Script by Gay Canvasser",74,73,77,71
"No Contact",73,80,74,68
"Same-Sex Marriage Script by Gay Canvasser",81,78,82,84
"Same-Sex Marriage Script by Straight Canvasser",100,100,97,98
"Recycling Script by Gay Canvasser",64,64,63,67
"Recycling Script by Straight Canvasser",66,64,64,66
"No Contact",66,62,66,70
"Same-Sex Marriage Script by Gay Canvasser",79,70,88,79
"Same-Sex Marriage Script by Gay Canvasser",66,75,69,NA
"Recycling Script by Straight Canvasser",42,46,58,36
"Recycling Script by Straight Canvasser",50,56,44,45
"Same-Sex Marriage Script by Straight Canvasser",89,93,92,94
"Recycling Script by Gay Canvasser",99,100,91,100
"Recycling Script by Gay Canvasser",31,27,30,NA
"No Contact",74,78,71,74
"Recycling Script by Gay Canvasser",40,46,41,37
"Same-Sex Marriage Script by Straight Canvasser",59,47,NA,60
"Recycling Script by Straight Canvasser",60,59,66,69
"No Contact",100,96,100,97
"Same-Sex Marriage Script by Straight Canvasser",64,64,70,64
"Same-Sex Marriage Script by Gay Canvasser",27,29,23,35
"Same-Sex Marriage Script by Gay Canvasser",44,44,56,50
"Same-Sex Marriage Script by Gay Canvasser",100,97,100,97
"Same-Sex Marriage Script by Gay Canvasser",48,52,62,42
"No Contact",54,52,48,54
"Same-Sex Marriage Script by Gay Canvasser",47,48,47,50
"Same-Sex Marriage Script by Gay Canvasser",39,39,36,44
"Recycling Script by Straight Canvasser",35,27,34,28
"Same-Sex Marriage Script by Gay Canvasser",65,68,63,66
"Same-Sex Marriage Script by Gay Canvasser",19,19,24,10
"No Contact",100,94,96,100
"Same-Sex Marriage Script by Straight Canvasser",52,60,56,42
"Same-Sex Marriage Script by Straight Canvasser",80,78,77,89
"Same-Sex Marriage Script by Gay Canvasser",62,72,59,NA
"Recycling Script by Gay Canvasser",68,73,66,68
"Recycling Script by Straight Canvasser",66,63,66,67
"Same-Sex Marriage Script by Gay Canvasser",60,68,59,64
"Same-Sex Marriage Script by Straight Canvasser",50,45,54,55
"Same-Sex Marriage Script by Gay Canvasser",71,73,74,61
"Recycling Script by Straight Canvasser",48,49,40,39
"No Contact",69,74,68,63
"Same-Sex Marriage Script by Straight Canvasser",15,17,11,8
"Same-Sex Marriage Script by Gay Canvasser",33,32,29,36
"Recycling Script by Straight Canvasser",20,25,23,17
"No Contact",34,32,37,35
"Recycling Script by Straight Canvasser",16,18,17,15
"Same-Sex Marriage Script by Gay Canvasser",33,33,42,31
"Recycling Script by Gay Canvasser",65,73,69,71
"Same-Sex Marriage Script by Straight Canvasser",0,5,NA,0
"Recycling Script by Straight Canvasser",12,17,14,13
"Same-Sex Marriage Script by Gay Canvasser",40,43,37,30
"Recycling Script by Straight Canvasser",98,100,100,93
"No Contact",31,14,NA,30
"Recycling Script by Straight Canvasser",91,94,NA,95
"Same-Sex Marriage Script by Gay Canvasser",60,65,63,66
"Recycling Script by Gay Canvasser",82,82,71,77
"Same-Sex Marriage Script by Gay Canvasser",100,87,100,100
"Recycling Script by Straight Canvasser",29,24,21,37
"Recycling Script by Gay Canvasser",67,68,70,69
"No Contact",70,68,79,65
"No Contact",81,90,81,83
"No Contact",40,40,36,47
"No Contact",79,84,82,77
"Same-Sex Marriage Script by Straight Canvasser",88,94,83,76
"No Contact",18,12,23,5
"Recycling Script by Straight Canvasser",48,50,48,49
"Same-Sex Marriage Script by Gay Canvasser",86,83,92,79
"No Contact",46,45,61,42
"Same-Sex Marriage Script by Gay Canvasser",62,64,NA,57
"Recycling Script by Gay Canvasser",35,32,39,35
"Same-Sex Marriage Script by Gay Canvasser",66,59,NA,65
"Recycling Script by Gay Canvasser",65,62,67,52
"Same-Sex Marriage Script by Straight Canvasser",55,61,50,64
"Same-Sex Marriage Script by Gay Canvasser",59,51,52,51
"Recycling Script by Gay Canvasser",57,55,58,60
"Same-Sex Marriage Script by Straight Canvasser",61,66,59,66
"No Contact",59,57,51,NA
"Same-Sex Marriage Script by Gay Canvasser",41,43,36,39
"No Contact",85,85,84,78
"Recycling Script by Gay Canvasser",92,92,85,93
"No Contact",100,100,96,100
"Same-Sex Marriage Script by Straight Canvasser",57,62,72,62
"Same-Sex Marriage Script by Gay Canvasser",100,96,88,100
"Same-Sex Marriage Script by Straight Canvasser",63,62,NA,NA
"Recycling Script by Gay Canvasser",41,47,37,NA
"No Contact",25,28,32,33
"Same-Sex Marriage Script by Gay Canvasser",91,86,94,95
"Recycling Script by Straight Canvasser",100,100,100,96
"No Contact",20,16,20,20
"Same-Sex Marriage Script by Gay Canvasser",38,37,39,25
"Same-Sex Marriage Script by Straight Canvasser",57,64,61,45
"Recycling Script by Straight Canvasser",4,0,NA,0
"Recycling Script by Straight Canvasser",62,54,58,71
"Same-Sex Marriage Script by Straight Canvasser",84,81,91,84
"No Contact",100,92,100,NA
"Recycling Script by Straight Canvasser",13,16,8,8
"Recycling Script by Gay Canvasser",46,55,48,42
"Same-Sex Marriage Script by Gay Canvasser",60,62,62,59
"Recycling Script by Straight Canvasser",66,67,60,72
"No Contact",62,66,59,67
"Recycling Script by Straight Canvasser",70,66,74,67
"Same-Sex Marriage Script by Gay Canvasser",62,60,62,70
"No Contact",42,44,56,50
"Same-Sex Marriage Script by Gay Canvasser",82,86,77,86
"No Contact",82,76,69,74
"No Contact",65,59,NA,60
"Same-Sex Marriage Script by Straight Canvasser",56,60,58,55
"Recycling Script by Straight Canvasser",66,73,74,60
"Recycling Script by Straight Canvasser",83,86,79,85
"Same-Sex Marriage Script by Straight Canvasser",56,54,NA,48
"Same-Sex Marriage Script by Straight Canvasser",88,87,NA,97
"Recycling Script by Gay Canvasser",40,36,32,44
"Same-Sex Marriage Script by Straight Canvasser",24,24,30,32
"Same-Sex Marriage Script by Straight Canvasser",76,80,80,72
"Same-Sex Marriage Script by Straight Canvasser",60,56,48,52
"Recycling Script by Straight Canvasser",41,46,38,47
"Same-Sex Marriage Script by Straight Canvasser",77,74,71,79
"No Contact",100,100,100,100
"Recycling Script by Straight Canvasser",63,58,60,81
"Same-Sex Marriage Script by Gay Canvasser",34,32,31,NA
"No Contact",42,39,43,46
"Same-Sex Marriage Script by Gay Canvasser",15,24,22,NA
"Same-Sex Marriage Script by Straight Canvasser",100,100,100,100
"Same-Sex Marriage Script by Gay Canvasser",23,16,21,19
"Recycling Script by Straight Canvasser",21,16,28,19
"Recycling Script by Straight Canvasser",92,91,96,81
"No Contact",58,58,60,74
"Recycling Script by Gay Canvasser",100,100,99,100
"Recycling Script by Gay Canvasser",58,62,53,59
"No Contact",25,25,14,11
"Same-Sex Marriage Script by Straight Canvasser",68,67,67,62
"Recycling Script by Gay Canvasser",30,22,33,38
"Same-Sex Marriage Script by Gay Canvasser",58,64,49,62
"Recycling Script by Straight Canvasser",21,16,13,34
"No Contact",96,96,99,99
"Recycling Script by Straight Canvasser",91,85,95,100
"Same-Sex Marriage Script by Straight Canvasser",66,63,63,74
"Same-Sex Marriage Script by Gay Canvasser",1,8,11,0
"No Contact",70,72,72,72
"Same-Sex Marriage Script by Straight Canvasser",79,70,80,72
"No Contact",100,95,95,100
"Same-Sex Marriage Script by Straight Canvasser",100,100,100,100
"Recycling Script by Gay Canvasser",65,62,69,65
"Same-Sex Marriage Script by Gay Canvasser",62,62,66,57
"Same-Sex Marriage Script by Gay Canvasser",75,78,69,NA
"Same-Sex Marriage Script by Gay Canvasser",53,45,61,51
"Recycling Script by Straight Canvasser",61,62,67,74
"Recycling Script by Gay Canvasser",100,100,100,94
"Recycling Script by Gay Canvasser",47,50,55,53
"No Contact",63,65,62,58
"Recycling Script by Straight Canvasser",84,80,70,89
"Recycling Script by Gay Canvasser",30,38,NA,31
"No Contact",32,33,32,37
"Recycling Script by Straight Canvasser",65,62,62,52
"No Contact",50,51,46,47
"Same-Sex Marriage Script by Gay Canvasser",68,66,73,69
"No Contact",90,96,NA,87
"No Contact",82,86,75,64
"Recycling Script by Straight Canvasser",100,100,91,100
"Recycling Script by Gay Canvasser",100,93,100,98
"Same-Sex Marriage Script by Straight Canvasser",25,26,20,21
"Recycling Script by Straight Canvasser",26,23,NA,32
"Recycling Script by Straight Canvasser",58,63,61,51
"Same-Sex Marriage Script by Straight Canvasser",53,54,41,66
"Recycling Script by Straight Canvasser",72,64,NA,80
"Same-Sex Marriage Script by Gay Canvasser",11,6,13,0
"Same-Sex Marriage Script by Straight Canvasser",53,54,54,58
"No Contact",66,71,61,73
"Same-Sex Marriage Script by Straight Canvasser",76,78,77,75
"Same-Sex Marriage Script by Straight Canvasser",79,80,NA,68
"Recycling Script by Gay Canvasser",28,23,32,40
"Recycling Script by Straight Canvasser",78,71,67,76
"Same-Sex Marriage Script by Gay Canvasser",60,68,59,57
"No Contact",47,50,47,56
"Same-Sex Marriage Script by Straight Canvasser",43,43,37,53
"Same-Sex Marriage Script by Straight Canvasser",2,3,0,5
"Recycling Script by Straight Canvasser",77,76,77,78
"Recycling Script by Straight Canvasser",75,73,70,75
"Same-Sex Marriage Script by Gay Canvasser",65,59,64,77
"No Contact",43,37,41,49
"Recycling Script by Straight Canvasser",98,100,96,NA
"Same-Sex Marriage Script by Straight Canvasser",94,81,94,96
"Same-Sex Marriage Script by Straight Canvasser",69,70,72,68
"No Contact",62,59,66,74
"Recycling Script by Gay Canvasser",62,54,58,62
"Same-Sex Marriage Script by Straight Canvasser",39,38,36,38
"No Contact",27,35,28,19
"No Contact",72,79,78,54
"No Contact",26,22,31,17
"Recycling Script by Straight Canvasser",62,61,63,56
"Recycling Script by Gay Canvasser",57,60,61,51
"Recycling Script by Straight Canvasser",74,70,69,NA
"No Contact",60,60,54,61
"No Contact",53,53,49,54
"Same-Sex Marriage Script by Gay Canvasser",100,100,96,98
"Recycling Script by Gay Canvasser",55,62,53,63
"Same-Sex Marriage Script by Straight Canvasser",29,28,29,30
"Same-Sex Marriage Script by Gay Canvasser",78,64,73,92
"Recycling Script by Gay Canvasser",100,100,100,100
"Same-Sex Marriage Script by Gay Canvasser",68,72,60,67
"Same-Sex Marriage Script by Gay Canvasser",45,46,44,44
"No Contact",78,77,89,93
"No Contact",74,79,83,79
"Recycling Script by Gay Canvasser",65,62,69,56
"Recycling Script by Straight Canvasser",0,0,0,8
"Recycling Script by Straight Canvasser",8,9,11,3
"Recycling Script by Gay Canvasser",100,100,100,100
"Recycling Script by Straight Canvasser",43,46,36,48
"Recycling Script by Gay Canvasser",75,71,76,72
"Same-Sex Marriage Script by Straight Canvasser",30,27,17,30
"Same-Sex Marriage Script by Straight Canvasser",65,62,66,59
"Recycling Script by Straight Canvasser",39,35,40,NA
"Same-Sex Marriage Script by Gay Canvasser",61,54,67,66
"Recycling Script by Gay Canvasser",98,95,94,89
"Recycling Script by Straight Canvasser",53,59,41,54
"Same-Sex Marriage Script by Gay Canvasser",58,59,55,61
"Recycling Script by Gay Canvasser",83,83,85,84
"No Contact",97,90,92,100
"Recycling Script by Straight Canvasser",89,91,81,93
"No Contact",79,77,NA,74
"No Contact",84,84,86,90
"Recycling Script by Gay Canvasser",40,40,41,46
"Recycling Script by Straight Canvasser",43,48,35,44
"No Contact",69,68,70,81
"No Contact",49,48,NA,52
"Same-Sex Marriage Script by Gay Canvasser",100,100,93,94
"Same-Sex Marriage Script by Gay Canvasser",69,61,67,73
"Same-Sex Marriage Script by Straight Canvasser",61,63,64,64
"No Contact",53,61,47,59
"No Contact",50,50,59,61
"Same-Sex Marriage Script by Straight Canvasser",73,72,76,74
"Recycling Script by Straight Canvasser",84,82,83,79
"Same-Sex Marriage Script by Straight Canvasser",12,16,12,12
"No Contact",59,63,57,56
"Same-Sex Marriage Script by Gay Canvasser",57,49,46,55
"Same-Sex Marriage Script by Straight Canvasser",45,44,50,51
"Same-Sex Marriage Script by Straight Canvasser",51,59,50,44
"Same-Sex Marriage Script by Straight Canvasser",56,57,52,59
"Recycling Script by Gay Canvasser",20,22,25,25
"No Contact",44,41,46,49
"Same-Sex Marriage Script by Straight Canvasser",88,82,93,92
"Same-Sex Marriage Script by Gay Canvasser",95,84,91,99
"Recycling Script by Straight Canvasser",22,21,21,16
"Recycling Script by Gay Canvasser",65,59,65,67
"Recycling Script by Gay Canvasser",66,66,60,57
"Same-Sex Marriage Script by Gay Canvasser",78,81,80,75
"Recycling Script by Gay Canvasser",100,100,98,100
"No Contact",25,27,23,8
"Recycling Script by Gay Canvasser",3,1,8,13
"Recycling Script by Straight Canvasser",79,73,87,82
"Same-Sex Marriage Script by Gay Canvasser",41,37,31,40
"Recycling Script by Gay Canvasser",57,52,52,65
"Same-Sex Marriage Script by Gay Canvasser",37,41,41,33
"Same-Sex Marriage Script by Gay Canvasser",44,45,43,58
"Same-Sex Marriage Script by Gay Canvasser",45,40,53,42
"Same-Sex Marriage Script by Straight Canvasser",19,17,18,NA
"Recycling Script by Straight Canvasser",82,77,79,85
"No Contact",100,93,100,100
"Same-Sex Marriage Script by Straight Canvasser",55,55,54,50
"No Contact",50,53,56,60
"Same-Sex Marriage Script by Straight Canvasser",96,100,100,96
"Recycling Script by Gay Canvasser",46,48,33,40
"No Contact",17,18,23,9
"Same-Sex Marriage Script by Straight Canvasser",49,55,57,62
"No Contact",16,19,6,5
"Same-Sex Marriage Script by Gay Canvasser",60,60,58,65
"Recycling Script by Straight Canvasser",53,44,59,53
"Same-Sex Marriage Script by Straight Canvasser",74,74,75,79
"Same-Sex Marriage Script by Gay Canvasser",49,57,48,59
"Same-Sex Marriage Script by Gay Canvasser",61,66,62,60
"Same-Sex Marriage Script by Gay Canvasser",64,63,69,75
"No Contact",83,77,96,82
"No Contact",61,60,74,68
"Same-Sex Marriage Script by Straight Canvasser",32,30,31,49
"No Contact",18,12,NA,18
"Recycling Script by Straight Canvasser",47,42,41,41
"Recycling Script by Straight Canvasser",68,74,75,NA
"Recycling Script by Gay Canvasser",28,25,28,NA
"No Contact",85,89,78,72
"No Contact",68,74,75,80
"Same-Sex Marriage Script by Gay Canvasser",62,65,67,76
"Same-Sex Marriage Script by Gay Canvasser",82,88,80,81
"No Contact",54,58,53,57
"Same-Sex Marriage Script by Gay Canvasser",57,54,64,NA
"Same-Sex Marriage Script by Gay Canvasser",83,83,83,89
"Same-Sex Marriage Script by Gay Canvasser",65,75,78,71
"Recycling Script by Gay Canvasser",93,89,90,87
"Same-Sex Marriage Script by Gay Canvasser",92,88,99,99
"Same-Sex Marriage Script by Gay Canvasser",62,55,64,46
"No Contact",46,43,51,46
"Recycling Script by Gay Canvasser",55,53,51,54
"Recycling Script by Straight Canvasser",98,100,100,NA
"Recycling Script by Straight Canvasser",12,12,5,2
"Same-Sex Marriage Script by Straight Canvasser",22,23,18,32
"Recycling Script by Gay Canvasser",9,3,7,18
"Recycling Script by Straight Canvasser",22,24,24,16
"No Contact",68,77,NA,80
"Recycling Script by Gay Canvasser",32,34,23,33
"Same-Sex Marriage Script by Straight Canvasser",64,74,65,61
"Same-Sex Marriage Script by Gay Canvasser",88,89,86,94
"Same-Sex Marriage Script by Straight Canvasser",100,90,NA,100
"Recycling Script by Straight Canvasser",65,70,60,72
"Recycling Script by Straight Canvasser",69,68,60,65
"Same-Sex Marriage Script by Gay Canvasser",74,72,74,72
"Recycling Script by Straight Canvasser",27,20,35,29
"Same-Sex Marriage Script by Gay Canvasser",85,85,83,90
"Same-Sex Marriage Script by Gay Canvasser",81,82,73,76
"Recycling Script by Straight Canvasser",37,42,43,30
"Same-Sex Marriage Script by Gay Canvasser",14,7,11,11
"Same-Sex Marriage Script by Straight Canvasser",53,52,57,NA
"No Contact",35,38,35,41
"Same-Sex Marriage Script by Gay Canvasser",45,45,43,38
"No Contact",0,3,6,0
"Same-Sex Marriage Script by Straight Canvasser",28,35,32,27
"No Contact",35,34,41,38
"Recycling Script by Straight Canvasser",42,41,52,43
"No Contact",95,100,99,96
"No Contact",45,46,50,46
"No Contact",94,100,97,91
"Recycling Script by Gay Canvasser",77,84,74,96
"Recycling Script by Gay Canvasser",58,68,49,54
"No Contact",55,55,NA,51
"Recycling Script by Gay Canvasser",59,50,64,61
"Recycling Script by Straight Canvasser",80,74,78,78
"Same-Sex Marriage Script by Gay Canvasser",100,99,100,98
"Same-Sex Marriage Script by Straight Canvasser",53,55,42,48
"Recycling Script by Straight Canvasser",43,52,49,46
"Recycling Script by Straight Canvasser",18,18,7,22
"No Contact",90,86,100,93
"Recycling Script by Gay Canvasser",57,65,61,59
"No Contact",19,23,10,7
"Same-Sex Marriage Script by Gay Canvasser",50,49,51,44
"Same-Sex Marriage Script by Gay Canvasser",80,84,89,72
"Recycling Script by Gay Canvasser",82,82,82,86
"Same-Sex Marriage Script by Straight Canvasser",40,43,27,37
"Recycling Script by Straight Canvasser",39,37,44,46
"Recycling Script by Gay Canvasser",30,26,30,50
"No Contact",51,54,49,46
"Recycling Script by Straight Canvasser",64,54,65,74
